,pixel_index,roi_index,roi_name,fit_model,T2m,T2fl,T2fs,T1f,T1m,Af,Am,cl,cs,B1,echo,rss,rchi,AIC,BIC,dx,Am100,Af100,cl100,cs100,slice,nrows,ncols,groupName,subject,session,imagedRegion,imagedRegionType,roi
0,8065,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,112.01773881183674,0.0,365.0,1400.0,1.0,0.0,0.46698642516568645,0.0,0.9815731486744822,10.0,0.015360572418211847,0.001097183744157989,-113.15579869644334,-110.6561586642747,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
1,8066,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,111.2736977766694,0.0,365.0,1400.0,1.0,0.0,0.4678527618110614,0.0,0.9798647892003679,10.0,0.015359055277179283,0.0010970753769413773,-113.1574778442397,-110.65783781207105,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
2,8067,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,110.60741754444281,0.0,365.0,1400.0,1.0,0.0,0.4670354482739908,0.0,0.9827499941704486,10.0,0.015921046413245668,0.001137217600946119,-112.54655416021853,-110.04691412804988,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
3,8068,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,110.17731051942425,0.0,365.0,1400.0,1.0,0.0,0.4647432914412116,0.0,0.9892088214509562,10.0,0.01664485315864743,0.0011889180827605306,-111.79074875799944,-109.29110872583078,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
4,8069,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,109.62282225729348,0.0,365.0,1400.0,1.0,0.0,0.46276823828014035,0.0,0.9966388183410465,10.0,0.016730974855676498,0.0011950696325483212,-111.70301627697965,-109.20337624481101,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
5,8070,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,109.74598848091743,0.0,365.0,1400.0,1.0,0.0,0.46092792844105923,0.0,1.0041079786855092,10.0,0.016399699532781732,0.0011714071094844093,-112.04299536231397,-109.54335533014532,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
6,8071,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,110.93182790284762,0.0,365.0,1400.0,1.0,0.0,0.4578015627903682,0.0,1.0141383247763651,10.0,0.01599959396773324,0.0011428281405523742,-112.46288972833318,-109.96324969616452,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
7,8072,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,112.3372076645216,0.0,365.0,1400.0,1.0,0.0,0.4536096333933909,0.0,1.0276331664341374,10.0,0.015715573726600554,0.0011225409804714681,-112.76737956908195,-110.2677395369133,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
8,8073,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,113.25913257922781,0.0,365.0,1400.0,1.0,0.0,0.4403281860132099,0.0,1.3818311612867262,10.0,0.014349335101461764,0.001024952507247269,-114.31350527708474,-111.81386524491609,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
9,8074,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,112.65549043427636,0.0,365.0,1400.0,1.0,0.0,0.4392563436478696,0.0,1.3734745960293913,10.0,0.015082864709952449,0.0010773474792823178,-113.46595828694231,-110.96631825477365,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
